	문서번호	문장번호	수집일	채널	문장	URL	회사명	연관어
134	DN000000010636440052_51	DN000000010636440052	20230101	언론	"친환경 실천 우수 아파트 경진대회를 개최해


주민들이 생활 속에서 온실가스를 줄이고


탄소중립을 실천할 수 있도록 독려하겠습니다."	http://www.sejongtv.kr/news/articleView.html?idxno=160842	이마트	친환경,탄소중립,온실가스
135	DN000000010636511835_50	DN000000010636511835	20230101	언론	친환경 실천 우수 아파트 경진대회를 개최해 주민들이 생활 속에서 온실가스를 줄이고 탄소중립을 실천할 수 있도록 독려하겠습니다.	http://www.newstnt.com/news/articleView.html?idxno=246611	이마트	친환경,탄소중립,온실가스
136	DN000000010636672340_52	DN000000010636672340	20230101	언론	"친환경 실천 우수 아파트 경진대회를 개최해

주민들이 생활 속에서 온실가스를 줄이고

탄소중립을 실천할 수 있도록 독려하겠습니다."	http://www.timenews.co.kr/web/news/article/1439681	이마트	친환경,탄소중립,온실가스
137	DN000000010637025260_32	DN000000010637025260	20230101	언론	친환경 실천 우수 아파트 경진대회를 개최해 주민들이 생활 속에서 온실가스를 줄이고 탄소중립을 실천할 수 있도록 독려하겠다.	http://www.shinailbo.co.kr/news/articleView.html?idxno=1643563	이마트	친환경,탄소중립,온실가스
144	DN000000010638717905_51	DN000000010638717905	20230101	언론	"친환경 실천 우수 아파트 경진대회를 개최해
주민들이 생활 속에서 온실가스를 줄이고
탄소중립을 실천할 수 있도록 독려하겠습니다."	http://www.pressna.com/news/newsview.php?ncode=1065617138747004	이마트	친환경,탄소중립,온실가스
145	DN000000010638862202_51	DN000000010638862202	20230101	언론	"친환경 실천 우수 아파트 경진대회를 개최해 
주민들이 생활 속에서 온실가스를 줄이고 
탄소중립을 실천할 수 있도록 독려하겠습니다."	https://m.newspic.kr/view.html?nid=2023010121401798466&pn=620	이마트	친환경,탄소중립,온실가스
146	DN000000010636453761_13	DN000000010636453761	20230101	언론	친환경 트렌드로 오가닉(유기농) 선물세트 매출도 80% 이상 늘었다.	https://www.nongmin.com/article/20221228500346	이마트	친환경
1699	CF000000010640055896_1	CF000000010640055896	20230102	카페	"새해부터 티멤버십 혜택 대박이네요\n이번주 금요일까지 노브랜드 3만원 이상 구매시 20% 할인에다가
이삭토스트 전 메뉴 반값 할인해주는데 티멤버십이라면 무조건 먹으러 가아죠 ^^
친환경 혜택으로 그린카 할인도 있다고 하니 이번 주말은 드라이브 고고~~
이번달 밈짤 이벤트 경품은 LG 스타일러니 이것도 참고하시구요!"	https://cafe.naver.com/fox5282/3431515	이마트	친환경
2227	DN000000010642917395_15	DN000000010642917395	20230103	언론	이마트, 홈플러스, 롯데마트에서 판매하는 ‘자연스러운 선물세트’에는 청정원 공식 인스타그램 ‘정원이의 비밀정원‘에서만 만나볼 수 있었던 청정원의 캐릭터 ‘정원이’가 전하는 친환경 명절 인사도 담겨있다.	https://n.news.naver.com/mnews/article/123/0002294243?rc=N&ntype=RANKING&sid=001	이마트	친환경,판매
2230	DN000000010644321601_12	DN000000010644321601	20230103	언론	자연스러운 선물세트는 대형마트와 온라인 쇼핑몰 등을 통해 만나볼 수 있으며 이마트, 홈플러스, 롯데마트에서 판매하는 선물세트에는 청정원의 캐릭터 ‘정원이’가 전하는 친환경 명절 인사도 담겨있다.	http://www.ngetnews.com/news/articleView.html?idxno=414263	이마트	친환경,판매
2236	DN000000010643988699_23	DN000000010643988699	20230103	언론	대상㈜ 청정원 관계자는 “소비자들의 취식 트렌드와 친환경 소비에 대한 관심을 적극 반영해 이번 설 선물세트를 구성하게 됐다”고 설명했다.	http://www.ezyeconomy.com/news/articleView.html?idxno=121487	이마트	친환경,소비,소비자
