	문서번호	문장번호	수집일	채널	문장	URL	회사명	연관어
17	DN000000010636973617_16	DN000000010636973617	20230101	언론	또 플라스틱 대신 종이 펄프를 사용하거나 부자재 사용을 최소화한 친환경 포장 선물 세트도 기존 ‘청과’ 및 ‘수산’ 등에 이어 이번 설부터는 ‘견과’ 선물 세트에서도 만날 수 있다.	https://v.daum.net/v/20230101060025927	롯데쇼핑	포장,친환경 포장,사용,종이,플라스틱,최소화
18	DN000000010636973628_17	DN000000010636973628	20230101	언론	플라스틱 대신 종이 펄프를 사용하거나 부자재 사용을 최소화한 친환경 포장 선물 세트도 기존 청과·수산 등에 이어, 견과 선물 세트에서도 만날 수 있다.	https://n.news.naver.com/mnews/article/277/0005199352?rc=N&ntype=RANKING&sid=001	롯데쇼핑	포장,친환경 포장,사용,종이,플라스틱,최소화
20	DN000000010636973943_16	DN000000010636973943	20230101	언론	아울러 플라스틱 대신 종이 펄프를 사용하거나 부자재 사용을 최소화한 친환경 포장 선물 세트도 기존 청과 및 수산 등에 이어 이번 설부터는 견과 선물 세트에서도 만날 수 있다.	https://n.news.naver.com/mnews/article/421/0006551275?rc=N&ntype=RANKING&sid=001	롯데쇼핑	포장,친환경 포장,사용,종이,플라스틱,최소화
32	DN000000010637314685_9	DN000000010637314685	20230101	언론	친환경 선물포장을 강화한다.	https://www.asiatoday.co.kr/view.php?key=20230101010000173	롯데쇼핑	포장,친환경 포장
84	DN000000010637014537_1	DN000000010637014537	20230101	언론	프리미엄·친환경 초점…롯데百, 설 선물 본판매\n[아시아경제 김유리 기자] 롯데백화점은 2일부터 전점에서 설 선물세트 본 판매를 시작한다고 1일 밝혔다.	https://www.ppomppu.co.kr/zboard/view.php?id=news_economy&no=202794	롯데쇼핑	친환경,판매
85	DN000000010637314685_1	DN000000010637314685	20230101	언론	"백화점, 설 선물세트 본판매 돌입…프리미엄 상품 강화\n롯데·현대는 2일부터…신세계는 3일부터 시작
가심비·가성비, 투트랙 전략…친환경도 반영 
2. [롯데백화점] 2023 설 마중 대표 이미지0
롯데백화점은 2일부터 설 선물세트 판매에 돌입하고 프리미엄 상품을 대거 선보인다."	https://www.asiatoday.co.kr/view.php?key=20230101010000173	롯데쇼핑	친환경,판매
86	DN000000010637317375_1	DN000000010637317375	20230101	언론	"백화점, 설 선물세트 본판매 돌입…프리미엄 상품 강화\n롯데·현대는 2일부터…신세계는 3일부터 시작
 
가심비·가성비, 투트랙 전략…친환경도 반영
롯데백화점은 2일부터 설 선물세트 판매에 돌입하고 프리미엄 상품을 대거 선보인다."	http://news.zum.com/articles/80454301	롯데쇼핑	친환경,판매
87	DN000000010637320871_1	DN000000010637320871	20230101	언론	"백화점, 설 선물세트 본판매 돌입…프리미엄 상품 강화\n롯데·현대는 2일부터…신세계는 3일부터 시작
가심비·가성비, 투트랙 전략…친환경도 반영
롯데백화점은 2일부터 설 선물세트 판매에 돌입하고 프리미엄 상품을 대거 선보인다."	http://news.nate.com/view/20230101n06869?mid=n0100	롯데쇼핑	친환경,판매
88	DN000000010637430932_3	DN000000010637430932	20230101	언론	"롯데백화점

1일 업계에 따르면 롯데백화점은 2일부터 전점에서 친환경과 프리미엄을 앞세운 선물 세트 판매에 들어간다."	https://n.news.naver.com/mnews/article/032/0003196378?rc=N&ntype=RANKING&sid=001	롯데쇼핑	친환경,판매
89	DN000000010637435046_3	DN000000010637435046	20230101	언론	"롯데백화점
  
1일 업계에 따르면 롯데백화점은 2일부터 전점에서 친환경과 프리미엄을 앞세운 선물 세트 판매에 들어간다."	https://www.khan.co.kr/economy/economy-general/article/202301011142001	롯데쇼핑	친환경,판매
90	DN000000010637442664_3	DN000000010637442664	20230101	언론	"롯데백화점   
1일 업계에 따르면 롯데백화점은 2일부터 전점에서 친환경과 프리미엄을 앞세운 선물 세트 판매에 들어간다."	https://v.daum.net/v/20230101114222135	롯데쇼핑	친환경,판매
91	DN000000010637446971_3	DN000000010637446971	20230101	언론	"롯데백화점
1일 업계에 따르면 롯데백화점은 2일부터 전점에서 친환경과 프리미엄을 앞세운 선물 세트 판매에 들어간다."	http://news.nate.com/view/20230101n08211?mid=n0100	롯데쇼핑	친환경,판매
92	DN000000010637448386_3	DN000000010637448386	20230101	언론	"롯데백화점
  1일 업계에 따르면 롯데백화점은 2일부터 전점에서 친환경과 프리미엄을 앞세운 선물 세트 판매에 들어간다."	http://news.zum.com/articles/80455246	롯데쇼핑	친환경,판매
93	DN000000010636973943_1	DN000000010636973943	20230101	언론	"롯데百, 설 선물세트 본 판매 시작…""프리미엄 선물 적극 공략""\n'친환경 트렌드 맞춘' 저탄소 한우 세트도 선봬
	
			(롯데백화점 제공)

(서울=뉴스1) 이상학 기자 = 롯데백화점은 2일부터 전점에서 설 선물세트 본 판매를 시작하고 프리미엄 선물 수요를 적극 공략한다고 1일 밝혔다."	https://n.news.naver.com/mnews/article/421/0006551275?rc=N&ntype=RANKING&sid=001	롯데쇼핑	친환경,저탄소,판매
94	DN000000010636975793_1	DN000000010636975793	20230101	언론	"롯데百, 설 선물세트 본 판매 시작…""프리미엄 선물 적극 공략""\n'친환경 트렌드 맞춘' 저탄소 한우 세트도 선봬 
   

  (롯데백화점 제공)   
(서울=뉴스1) 이상학 기자 = 롯데백화점은 2일부터 전점에서 설 선물세트 본 판매를 시작하고 프리미엄 선물 수요를 적극 공략한다고 1일 밝혔다."	https://v.daum.net/v/20230101060115040	롯데쇼핑	친환경,저탄소,판매
95	DN000000010636984424_1	DN000000010636984424	20230101	언론	"롯데百, 설 선물세트 본 판매 시작…""프리미엄 선물 적극 공략""\n'친환경 트렌드 맞춘' 저탄소 한우 세트도 선봬
(롯데백화점 제공)
  (서울=뉴스1) 이상학 기자 = 롯데백화점은 2일부터 전점에서 설 선물세트 본 판매를 시작하고 프리미엄 선물 수요를 적극 공략한다고 1일 밝혔다."	http://news.zum.com/articles/80450796	롯데쇼핑	친환경,저탄소,판매
96	DN000000010636973617_1	DN000000010636973617	20230101	언론	"'프리미엄·친환경' 롯데百, 설 선물세트 본판매 돌입\n2일부터 전점서 다양한 선물 엄선 준비
한우 등급·청과 당도 높여..와인 전문 소믈리에가 골라
업계 최초로 탄소배출량 줄인 저탄소 한우 선물 세트
친환경 포장재 사용·보랭가방 회수 프로모션도 확대 
  
 [이데일리 백주아 기자] 롯데백화점은 2일부터 전점에서 설 선물세트 본 판매를 시작해 프리미엄 선물 수요를 적극 공략한다고 1일 밝혔다."	https://v.daum.net/v/20230101060025927	롯데쇼핑	친환경,저탄소,배출량,확대,최초,사용,탄소 배출량,판매
